-----------------------------------------------------
Circuit delay: 864.797 ps

Gate slacks: 
BUFF-1892: 216.538 ps
BUFF-1899: 494.022 ps
INP-190: 587.458 ps
BUFF-1906: 138.593 ps
INP-191: 592.78 ps
NOT-1913: 481.076 ps
BUFF-1919: 149.361 ps
INP-192: 598.163 ps
AND-1926: 551.073 ps
AND-1927: 515.844 ps
AND-1928: 525.826 ps
AND-1929: 525.826 ps
INP-193: 580.593 ps
AND-1930: 516.058 ps
NOT-1931: 561.073 ps
NOT-1932: 541.231 ps
NOT-1933: 541.231 ps
NOT-1934: 556.118 ps
NOT-1935: 527.591 ps
NOT-1936: 512.62 ps
NOT-1937: 507.639 ps
NOT-1938: 512.566 ps
NOT-1939: 531.9 ps
INP-194: 607.341 ps
NOT-1940: 438.07 ps
NOT-1941: 361.929 ps
NOT-1942: 517.507 ps
NOT-1943: 396.32 ps
NOT-1944: 284.12 ps
NOT-1945: 297.349 ps
NOT-1946: 394.475 ps
NOT-1947: 180.783 ps
INP-195: 607.341 ps
NOT-1953: 489.452 ps
AND-1957: 213.39 ps
AND-1958: 188.207 ps
AND-1959: 174.978 ps
INP-196: 607.341 ps
AND-1960: 287.314 ps
AND-1961: 486.245 ps
AND-1962: 634.911 ps
AND-1963: 634.911 ps
NOT-1965: 737.151 ps
AND-1966: 731.402 ps
NOT-1967: 742.534 ps
NOT-1968: 555.601 ps
NOT-1969: 535.786 ps
INP-197: 614.007 ps
NOT-1970: 535.786 ps
NOT-1971: 550.639 ps
NOT-1972: 555.601 ps
NOT-1973: 540.733 ps
NOT-1974: 535.786 ps
NOT-1975: 540.733 ps
NOT-1976: 550.643 ps
NOT-1977: 477.46 ps
INP-198: 578.78 ps
NOT-1983: 198.174 ps
AND-1989: 547.239 ps
INP-199: 844.691 ps
AND-1990: 521.873 ps
AND-1991: 521.925 ps
AND-1992: 521.994 ps
AND-1993: 512.157 ps
AND-1994: 512.157 ps
AND-1995: 655.971 ps
AND-1996: 655.971 ps
NOT-1997: 482.889 ps
INP-200: 600.148 ps
BUFF-2003: 216.538 ps
INP-201: 605.33 ps
AND-2010: 517.657 ps
AND-2011: 535.227 ps
AND-2012: 529.844 ps
AND-2013: 524.522 ps
AND-2014: 519.341 ps
NOT-2015: 544.458 ps
NOT-2016: 438.07 ps
NOT-2017: 361.929 ps
NOT-2018: 539.235 ps
NOT-2019: 396.32 ps
INP-202: 631.499 ps
NOT-2020: 283.983 ps
NOT-2021: 297.212 ps
NOT-2022: 394.475 ps
NOT-2023: 320.89 ps
BUFF-2024: 448.282 ps
INP-203: 631.499 ps
BUFF-2031: 449.881 ps
BUFF-2038: 447.395 ps
INP-204: 578.994 ps
BUFF-2045: 437.256 ps
INP-205: 578.994 ps
NOT-2052: 478.962 ps
NOT-2058: 474.024 ps
INP-206: 588.762 ps
AND-2064: 547.235 ps
AND-2065: 529.507 ps
AND-2066: 524.171 ps
AND-2067: 518.838 ps
AND-2068: 513.659 ps
AND-2069: 508.79 ps
INP-207: 588.762 ps
AND-2070: 525.774 ps
AND-2071: 520.501 ps
AND-2072: 515.242 ps
AND-2073: 510.06 ps
BUFF-2074: 266.56 ps
INP-208: 614.009 ps
BUFF-2081: 624.232 ps
BUFF-2086: 715.943 ps
INP-209: 280.231 ps
INP-210: 844.691 ps
NAND-2107: 461.661 ps
NAND-2108: 450.07 ps
INP-211: 695.236 ps
NOT-2110: 473.966 ps
NAND-2111: 485.573 ps
NAND-2112: 701.392 ps
NAND-2113: 689.802 ps
NOT-2114: 695.065 ps
NAND-2115: 706.673 ps
NOT-2117: 711.015 ps
INP-212: 695.236 ps
INP-213: 546.57 ps
INP-214: 354.155 ps
INP-215: 241.819 ps
INP-216: 255.048 ps
INP-217: 307.668 ps
NOT-2171: 735.817 ps
NAND-2172: 737.151 ps
INP-218: 844.691 ps
INP-219: 540.922 ps
INP-220: 423.391 ps
INP-221: 347.25 ps
INP-222: 390.45 ps
INP-223: 540.922 ps
NOT-2230: 564.592 ps
BUFF-2231: 542.365 ps
BUFF-2235: 712.264 ps
OR-2239: 498.432 ps
INP-224: 381.641 ps
OR-2240: 486.851 ps
OR-2241: 487.088 ps
OR-2242: 487.088 ps
OR-2243: 477.32 ps
OR-2244: 491.368 ps
OR-2245: 634.911 ps
OR-2246: 634.911 ps
OR-2247: 473.887 ps
OR-2248: 491.055 ps
OR-2249: 485.667 ps
INP-225: 269.304 ps
OR-2250: 480.34 ps
OR-2251: 475.158 ps
OR-2252: 422.805 ps
OR-2253: 288.837 ps
OR-2254: 245.499 ps
OR-2255: 321.64 ps
OR-2256: 428.028 ps
NAND-2257: 450.07 ps
INP-226: 282.533 ps
NOT-2267: 266.56 ps
NAND-2268: 473.966 ps
NAND-2269: 689.802 ps
INP-227: 614.001 ps
NAND-2274: 695.065 ps
NOT-2275: 624.232 ps
AND-2277: 512.469 ps
AND-2278: 494.867 ps
AND-2279: 489.474 ps
INP-228: 844.691 ps
AND-2280: 484.141 ps
AND-2281: 478.962 ps
AND-2282: 512.463 ps
AND-2283: 206.13 ps
AND-2284: 180.995 ps
AND-2285: 167.766 ps
AND-2286: 280.103 ps
NOT-2287: 459.009 ps
INP-229: 280.073 ps
NOT-2293: 216.538 ps
AND-2299: 493.775 ps
INP-23: 381.709 ps
INP-230: 844.691 ps
AND-2300: 546.28 ps
AND-2301: 546.28 ps
AND-2302: 520.11 ps
AND-2303: 514.929 ps
AND-2304: 416.968 ps
AND-2305: 294.505 ps
AND-2306: 251.305 ps
AND-2307: 327.446 ps
AND-2308: 421.277 ps
NOT-2309: 494.022 ps
INP-231: 517.221 ps
NOT-2315: 138.593 ps
INP-232: 423.391 ps
AND-2321: 528.788 ps
AND-2322: 522.121 ps
AND-2323: 522.121 ps
AND-2324: 522.121 ps
AND-2325: 522.121 ps
AND-2326: 518.058 ps
AND-2327: 211.724 ps
AND-2328: 186.589 ps
AND-2329: 173.36 ps
INP-233: 347.25 ps
AND-2330: 285.697 ps
NOT-2331: 149.361 ps
AND-2337: 516.305 ps
AND-2338: 481.076 ps
AND-2339: 491.058 ps
INP-234: 390.45 ps
AND-2340: 491.058 ps
AND-2341: 481.29 ps
AND-2342: 518.066 ps
AND-2343: 184.13 ps
AND-2344: 186.725 ps
AND-2345: 173.496 ps
AND-2346: 285.697 ps
OR-2347: 498.427 ps
OR-2348: 205.966 ps
OR-2349: 180.783 ps
INP-235: 512.912 ps
OR-2350: 167.554 ps
OR-2351: 279.89 ps
OR-2352: 486.245 ps
OR-2353: 634.911 ps
OR-2354: 634.911 ps
NAND-2355: 735.817 ps
NOT-2356: 715.943 ps
NAND-2357: 727.523 ps
AND-2358: 512.472 ps
AND-2359: 487.232 ps
INP-236: 381.641 ps
AND-2360: 487.228 ps
AND-2361: 487.228 ps
AND-2362: 477.46 ps
AND-2363: 477.46 ps
AND-2364: 621.205 ps
AND-2365: 621.205 ps
AND-2366: 198.174 ps
AND-2367: 490.459 ps
NOT-2368: 216.538 ps
INP-237: 269.441 ps
AND-2374: 482.889 ps
AND-2375: 500.459 ps
AND-2376: 495.076 ps
AND-2377: 489.754 ps
AND-2378: 484.573 ps
AND-2379: 444.978 ps
INP-238: 282.67 ps
AND-2380: 294.505 ps
AND-2381: 251.305 ps
AND-2382: 327.446 ps
AND-2383: 444.978 ps
NOT-2384: 448.282 ps
INP-239: 614.009 ps
NOT-2390: 449.881 ps
AND-2396: 518.064 ps
AND-2397: 511.397 ps
AND-2398: 511.397 ps
AND-2399: 511.397 ps
INP-240: 844.691 ps
AND-2400: 483.051 ps
AND-2401: 484.649 ps
AND-2402: 502.219 ps
AND-2403: 496.837 ps
AND-2404: 491.514 ps
AND-2405: 486.333 ps
NOT-2406: 447.395 ps
: 951.277 ps
NOT-2412: 437.256 ps
AND-2418: 518.069 ps
AND-2419: 518.069 ps
INP-242: 927.65 ps
AND-2420: 510.23 ps
AND-2421: 482.163 ps
AND-2422: 476.981 ps
AND-2423: 472.024 ps
AND-2424: 535.555 ps
AND-2425: 535.556 ps
AND-2426: 509.386 ps
AND-2427: 504.205 ps
AND-2428: 512.469 ps
AND-2429: 494.867 ps
AND-2430: 489.474 ps
AND-2431: 484.141 ps
AND-2432: 478.962 ps
AND-2433: 474.024 ps
AND-2434: 491.19 ps
AND-2435: 485.803 ps
AND-2436: 480.476 ps
AND-2437: 475.294 ps
AND-2441: 498.432 ps
AND-2442: 486.851 ps
AND-2446: 487.088 ps
INP-245: 722.743 ps
AND-2450: 487.088 ps
AND-2454: 477.32 ps
AND-2458: 491.368 ps
AND-2462: 473.887 ps
AND-2466: 491.055 ps
AND-2470: 485.667 ps
AND-2474: 480.34 ps
AND-2478: 475.158 ps
INP-248: 603.107 ps
AND-2482: 422.805 ps
AND-2488: 288.837 ps
AND-2496: 245.499 ps
AND-2502: 321.64 ps
AND-2508: 428.028 ps
INP-251: 320.89 ps
NAND-2523: 473.966 ps
NAND-2533: 695.065 ps
NOT-2537: 712.264 ps
OR-2538: 494.867 ps
INP-254: 297.212 ps
OR-2542: 489.474 ps
OR-2546: 484.141 ps
OR-2550: 478.962 ps
OR-2554: 206.13 ps
OR-2561: 180.995 ps
OR-2567: 167.766 ps
INP-257: 396.319 ps
OR-2573: 280.103 ps
INP-26: 269.509 ps
INP-260: 545.667 ps
OR-2604: 481.076 ps
OR-2607: 491.058 ps
OR-2611: 491.058 ps
OR-2615: 481.29 ps
AND-2619: 205.966 ps
AND-2626: 180.783 ps
INP-263: 491.891 ps
AND-2632: 167.554 ps
AND-2638: 279.89 ps
AND-2644: 486.245 ps
NAND-2650: 735.817 ps
NAND-2653: 715.943 ps
OR-2654: 487.232 ps
OR-2658: 487.228 ps
OR-2662: 487.228 ps
OR-2666: 477.46 ps
INP-267: 467.802 ps
OR-2670: 477.46 ps
OR-2674: 198.174 ps
OR-2680: 490.459 ps
OR-2688: 482.889 ps
OR-2692: 500.459 ps
OR-2696: 495.076 ps
OR-2700: 489.754 ps
OR-2704: 484.573 ps
INP-271: 722.743 ps
AND-2728: 498.427 ps
OR-2729: 494.867 ps
OR-2733: 489.474 ps
OR-2737: 484.141 ps
INP-274: 603.104 ps
OR-2741: 478.962 ps
OR-2745: 474.024 ps
OR-2749: 491.19 ps
OR-2753: 485.803 ps
OR-2757: 480.476 ps
OR-2761: 475.294 ps
NOT-2765: 542.365 ps
AND-2766: 634.911 ps
AND-2769: 634.911 ps
INP-277: 320.89 ps
AND-2772: 634.911 ps
AND-2775: 634.911 ps
OR-2778: 512.463 ps
OR-2781: 512.472 ps
OR-2784: 621.205 ps
OR-2787: 621.205 ps
OR-2790: 516.305 ps
OR-2793: 512.469 ps
OR-2796: 512.469 ps
INP-280: 297.212 ps
INP-283: 283.983 ps
INP-286: 396.32 ps
AND-2866: 664.826 ps
AND-2867: 519.211 ps
AND-2868: 502.308 ps
AND-2869: 450.07 ps
AND-2878: 689.802 ps
INP-289: 544.205 ps
INP-29: 282.738 ps
AND-2913: 459.009 ps
AND-2914: 511.515 ps
AND-2915: 511.515 ps
AND-2916: 485.345 ps
AND-2917: 480.163 ps
AND-2918: 382.201 ps
AND-2919: 259.738 ps
AND-2920: 216.538 ps
AND-2921: 292.679 ps
AND-2922: 386.509 ps
AND-2923: 494.022 ps
AND-2924: 487.356 ps
AND-2925: 487.356 ps
AND-2926: 487.356 ps
AND-2927: 487.356 ps
AND-2928: 483.289 ps
AND-2929: 176.956 ps
INP-293: 394.474 ps
AND-2930: 151.822 ps
AND-2931: 138.593 ps
AND-2932: 250.929 ps
AND-2933: 483.297 ps
AND-2934: 149.361 ps
AND-2935: 151.958 ps
AND-2936: 138.729 ps
AND-2937: 250.929 ps
INP-296: 361.928 ps
NAND-2988: 715.943 ps
INP-299: 443.041 ps
AND-3005: 410.21 ps
AND-3006: 259.738 ps
AND-3007: 216.538 ps
AND-3008: 292.679 ps
AND-3009: 410.21 ps
AND-3020: 483.295 ps
AND-3021: 476.571 ps
AND-3022: 476.629 ps
AND-3023: 476.629 ps
AND-3024: 448.282 ps
AND-3025: 449.881 ps
AND-3026: 467.337 ps
AND-3027: 462.069 ps
AND-3028: 456.746 ps
AND-3029: 451.565 ps
INP-303: 549.428 ps
AND-3032: 483.3 ps
AND-3033: 483.3 ps
AND-3034: 475.462 ps
AND-3035: 447.395 ps
AND-3036: 442.213 ps
AND-3037: 437.256 ps
AND-3038: 500.673 ps
AND-3039: 500.788 ps
AND-3040: 474.618 ps
AND-3041: 469.437 ps
BUFF-3061: 638.896 ps
BUFF-3064: 638.895 ps
BUFF-3067: 671.901 ps
INP-307: 603.039 ps
BUFF-3070: 697.078 ps
NOT-3073: 498.427 ps
NOT-3080: 498.432 ps
AND-3096: 586.699 ps
AND-3097: 381.452 ps
INP-310: 282.965 ps
AND-3101: 271.641 ps
AND-3107: 241.013 ps
AND-3114: 205.966 ps
AND-3122: 683.356 ps
OR-3126: 664.826 ps
INP-313: 297.349 ps
AND-3130: 519.211 ps
OR-3131: 450.07 ps
AND-3134: 472.788 ps
NOT-3135: 720.144 ps
AND-3136: 642.367 ps
AND-3137: 597.612 ps
AND-3140: 594.166 ps
AND-3144: 590.772 ps
AND-3149: 584.481 ps
AND-3155: 695.065 ps
OR-3159: 689.802 ps
INP-316: 284.12 ps
NOT-3167: 512.463 ps
AND-3168: 535.588 ps
AND-3169: 409.764 ps
AND-3173: 325.3 ps
AND-3178: 288.837 ps
AND-3184: 502.123 ps
AND-3185: 381.667 ps
AND-3189: 271.82 ps
INP-319: 396.32 ps
AND-3195: 241.224 ps
INP-32: 347.318 ps
AND-3202: 206.13 ps
AND-3210: 546.736 ps
AND-3211: 512.686 ps
AND-3215: 505.989 ps
INP-322: 527.591 ps
AND-3221: 496.699 ps
AND-3228: 516.492 ps
AND-3229: 485.941 ps
AND-3232: 482.453 ps
AND-3236: 479.098 ps
AND-3241: 472.76 ps
OR-3247: 459.009 ps
INP-325: 394.475 ps
OR-3251: 511.515 ps
OR-3255: 511.515 ps
OR-3259: 485.345 ps
OR-3263: 480.163 ps
OR-3267: 382.201 ps
OR-3273: 259.738 ps
INP-328: 361.929 ps
OR-3281: 216.538 ps
OR-3287: 292.679 ps
OR-3293: 386.509 ps
OR-3299: 487.356 ps
OR-3303: 487.356 ps
OR-3307: 487.356 ps
INP-331: 438.07 ps
OR-3311: 487.356 ps
OR-3315: 176.956 ps
OR-3322: 151.822 ps
OR-3328: 138.593 ps
OR-3334: 250.929 ps
INP-334: 531.9 ps
OR-3340: 149.361 ps
OR-3343: 151.958 ps
OR-3349: 138.729 ps
OR-3355: 250.929 ps
AND-3361: 589.768 ps
AND-3362: 562.892 ps
AND-3363: 562.892 ps
AND-3364: 562.892 ps
AND-3365: 562.922 ps
AND-3366: 536.135 ps
AND-3367: 536.135 ps
AND-3368: 536.135 ps
AND-3369: 536.134 ps
INP-337: 603.034 ps
AND-3370: 633.696 ps
AND-3371: 606.625 ps
AND-3372: 606.625 ps
AND-3373: 606.625 ps
AND-3374: 606.625 ps
AND-3375: 715.943 ps
AND-3379: 717.171 ps
NOT-3380: 512.472 ps
AND-3381: 481.076 ps
OR-3384: 410.21 ps
OR-3390: 259.738 ps
OR-3398: 216.538 ps
INP-340: 320.89 ps
OR-3404: 292.679 ps
OR-3410: 410.21 ps
OR-3416: 476.571 ps
OR-3420: 476.629 ps
OR-3424: 476.629 ps
OR-3428: 448.282 ps
INP-343: 297.212 ps
OR-3432: 449.881 ps
OR-3436: 467.337 ps
OR-3440: 462.069 ps
OR-3444: 456.746 ps
OR-3448: 451.565 ps
NOT-3452: 516.305 ps
NOT-3453: 512.469 ps
OR-3454: 475.462 ps
OR-3458: 447.395 ps
INP-346: 283.983 ps
OR-3462: 442.213 ps
OR-3466: 437.256 ps
OR-3470: 500.673 ps
OR-3474: 500.788 ps
OR-3478: 474.618 ps
OR-3482: 469.437 ps
NOT-3486: 512.469 ps
BUFF-3487: 486.245 ps
INP-349: 396.32 ps
BUFF-3490: 279.89 ps
BUFF-3493: 167.554 ps
BUFF-3496: 180.783 ps
BUFF-3499: 206.298 ps
INP-35: 390.518 ps
BUFF-3502: 593.685 ps
NOR-3507: 502.308 ps
BUFF-3510: 593.668 ps
NOR-3515: 293.005 ps
BUFF-3518: 559.087 ps
INP-352: 555.601 ps
BUFF-3521: 530.172 ps
BUFF-3524: 525.226 ps
BUFF-3527: 530.172 ps
BUFF-3530: 541.92 ps
BUFF-3535: 477.276 ps
BUFF-3539: 480.63 ps
BUFF-3542: 480.63 ps
BUFF-3545: 484.909 ps
BUFF-3548: 470.862 ps
INP-355: 394.475 ps
NOT-3551: 634.911 ps
NOT-3552: 634.911 ps
BUFF-3553: 486.851 ps
BUFF-3557: 487.088 ps
BUFF-3560: 487.088 ps
BUFF-3563: 491.368 ps
BUFF-3566: 477.32 ps
NOT-3569: 634.911 ps
NOT-3570: 634.911 ps
BUFF-3571: 477.682 ps
BUFF-3574: 480.841 ps
BUFF-3577: 480.841 ps
INP-358: 361.929 ps
BUFF-3580: 470.86 ps
BUFF-3583: 471.073 ps
BUFF-3586: 544.022 ps
BUFF-3589: 538.014 ps
BUFF-3592: 544.029 ps
BUFF-3595: 544.029 ps
BUFF-3598: 428.028 ps
BUFF-3601: 321.64 ps
BUFF-3604: 245.499 ps
BUFF-3607: 422.805 ps
INP-361: 438.07 ps
BUFF-3610: 280.103 ps
BUFF-3613: 167.766 ps
BUFF-3616: 180.995 ps
BUFF-3619: 281.949 ps
BUFF-3622: 206.463 ps
NOR-3625: 362.832 ps
NOR-3628: 293.18 ps
BUFF-3631: 439.171 ps
BUFF-3634: 419.356 ps
BUFF-3637: 419.356 ps
INP-364: 555.601 ps
BUFF-3640: 438.114 ps
BUFF-3643: 439.171 ps
BUFF-3646: 424.516 ps
BUFF-3649: 419.569 ps
BUFF-3652: 424.516 ps
BUFF-3655: 436.216 ps
NOR-3658: 632.864 ps
BUFF-3661: 365.363 ps
BUFF-3664: 198.174 ps
BUFF-3667: 475.294 ps
INP-367: 643.778 ps
BUFF-3670: 475.158 ps
BUFF-3673: 480.476 ps
BUFF-3676: 480.34 ps
BUFF-3679: 485.803 ps
BUFF-3682: 485.667 ps
BUFF-3685: 474.024 ps
BUFF-3688: 473.887 ps
BUFF-3691: 478.962 ps
BUFF-3694: 478.962 ps
BUFF-3697: 484.141 ps
BUFF-3700: 484.141 ps
BUFF-3703: 489.474 ps
BUFF-3706: 489.474 ps
BUFF-3709: 491.19 ps
BUFF-3712: 491.055 ps
BUFF-3715: 494.867 ps
BUFF-3718: 494.867 ps
BUFF-3721: 484.573 ps
BUFF-3724: 489.754 ps
BUFF-3727: 495.076 ps
BUFF-3730: 482.889 ps
BUFF-3733: 500.459 ps
BUFF-3736: 568.561 ps
BUFF-3739: 582.472 ps
BUFF-3742: 573.517 ps
BUFF-3745: 573.381 ps
BUFF-3748: 578.699 ps
BUFF-3751: 578.563 ps
BUFF-3754: 584.027 ps
BUFF-3757: 583.891 ps
BUFF-3760: 589.414 ps
BUFF-3763: 589.278 ps
BUFF-3766: 487.232 ps
BUFF-3769: 487.228 ps
BUFF-3772: 487.228 ps
BUFF-3775: 477.46 ps
BUFF-3778: 477.46 ps
NOT-3781: 621.205 ps
NOT-3782: 621.205 ps
OR-3783: 483.289 ps
OR-3786: 483.297 ps
OR-3789: 494.022 ps
BUFF-3792: 481.29 ps
BUFF-3795: 554.459 ps
BUFF-3798: 554.459 ps
INP-38: 450.07 ps
BUFF-3801: 554.459 ps
BUFF-3804: 554.459 ps
BUFF-3807: 494.274 ps
BUFF-3810: 491.058 ps
BUFF-3813: 491.058 ps
BUFF-3816: 481.29 ps
BUFF-3819: 487.229 ps
INP-382: 467.802 ps
BUFF-3822: 487.224 ps
BUFF-3825: 487.224 ps
BUFF-3828: 477.319 ps
BUFF-3831: 477.455 ps
BUFF-3834: 550.487 ps
BUFF-3837: 550.487 ps
BUFF-3840: 550.487 ps
BUFF-3843: 550.487 ps
BUFF-3846: 475.22 ps
BUFF-3849: 480.402 ps
BUFF-3852: 485.73 ps
BUFF-3855: 490.459 ps
BUFF-3858: 487.228 ps
BUFF-3861: 487.224 ps
BUFF-3864: 487.224 ps
BUFF-3867: 477.456 ps
BUFF-387: 919.479 ps
BUFF-3870: 477.456 ps
BUFF-3873: 550.625 ps
BUFF-3876: 550.624 ps
BUFF-3879: 550.625 ps
BUFF-388: 919.479 ps
BUFF-3882: 550.625 ps
OR-3885: 483.3 ps
OR-3888: 483.3 ps
OR-3891: 483.295 ps
NAND-3953: 684.868 ps
NOT-3954: 671.901 ps
NAND-3955: 697.078 ps
NOT-3956: 685.5 ps
NOT-3958: 498.427 ps
NOT-3964: 498.432 ps
INP-41: 280.143 ps
OR-4193: 717.171 ps
OR-4303: 519.211 ps
NOT-4308: 626.991 ps
NOT-4313: 626.991 ps
NAND-4326: 634.911 ps
NAND-4327: 634.911 ps
NAND-4333: 634.911 ps
NAND-4334: 634.911 ps
INP-44: 614.078 ps
NAND-4411: 621.205 ps
NAND-4412: 621.205 ps
NAND-4463: 486.245 ps
NOT-4464: 474.648 ps
NAND-4465: 279.89 ps
NOT-4466: 268.293 ps
NAND-4467: 167.554 ps
NOT-4468: 155.966 ps
NAND-4469: 180.783 ps
NOT-4470: 169.186 ps
NAND-4471: 206.298 ps
NOT-4472: 194.692 ps
NOT-4473: 683.356 ps
NOT-4474: 664.826 ps
NAND-4475: 559.087 ps
NOT-4476: 547.49 ps
NAND-4477: 530.172 ps
NOT-4478: 518.576 ps
NAND-4479: 525.226 ps
NOT-4480: 513.639 ps
NAND-4481: 530.172 ps
NOT-4482: 518.576 ps
NAND-4483: 541.92 ps
NOT-4484: 530.313 ps
NOT-4485: 695.065 ps
NOT-4486: 689.802 ps
NAND-4487: 671.901 ps
NAND-4488: 685.5 ps
NOT-4489: 477.276 ps
NAND-4490: 489.083 ps
NOT-4491: 480.63 ps
NOT-4492: 480.63 ps
NOT-4493: 484.909 ps
NOT-4494: 470.862 ps
NOT-4495: 486.851 ps
NAND-4496: 498.432 ps
NOT-4497: 487.088 ps
NOT-4498: 487.088 ps
NOT-4499: 491.368 ps
NOT-4500: 477.32 ps
NOT-4501: 477.682 ps
NAND-4502: 489.255 ps
NOT-4503: 480.841 ps
NOT-4504: 480.841 ps
NOT-4505: 470.86 ps
NOT-4506: 471.073 ps
NAND-4507: 428.028 ps
NOT-4508: 416.441 ps
NAND-4509: 321.64 ps
NOT-4510: 310.053 ps
NAND-4511: 245.499 ps
NOT-4512: 233.902 ps
NAND-4513: 422.805 ps
NOT-4514: 411.218 ps
NAND-4515: 280.103 ps
NOT-4516: 268.506 ps
NAND-4517: 167.766 ps
NOT-4518: 156.17 ps
NAND-4519: 180.995 ps
NOT-4520: 169.399 ps
NAND-4521: 281.949 ps
NOT-4522: 270.332 ps
NAND-4523: 206.463 ps
NOT-4524: 194.857 ps
NAND-4525: 439.171 ps
NOT-4526: 427.584 ps
NAND-4527: 419.356 ps
NOT-4528: 407.769 ps
NAND-4529: 419.356 ps
NOT-4530: 407.76 ps
NAND-4531: 438.114 ps
NOT-4532: 426.497 ps
NAND-4533: 439.171 ps
NOT-4534: 427.584 ps
NAND-4535: 424.516 ps
NOT-4536: 412.919 ps
NAND-4537: 419.569 ps
NOT-4538: 407.973 ps
NAND-4539: 424.516 ps
NOT-4540: 412.919 ps
NAND-4541: 436.216 ps
NOT-4542: 424.609 ps
NOT-4543: 632.864 ps
AND-4544: 472.497 ps
AND-4545: 438.461 ps
AND-4549: 431.806 ps
AND-4555: 422.379 ps
AND-4562: 457.388 ps
AND-4563: 426.678 ps
AND-4566: 423.19 ps
AND-4570: 419.835 ps
NOT-4575: 365.363 ps
AND-4576: 492.464 ps
AND-4577: 380.762 ps
AND-4581: 296.339 ps
AND-4586: 259.738 ps
AND-4592: 452.293 ps
AND-4593: 323.648 ps
AND-4597: 213.635 ps
AND-4603: 212.186 ps
NOT-4610: 198.174 ps
NOT-4611: 475.294 ps
NOT-4612: 475.158 ps
NOT-4613: 480.476 ps
NOT-4614: 480.34 ps
NOT-4615: 485.803 ps
NOT-4616: 485.667 ps
NOT-4617: 474.024 ps
NOT-4618: 473.887 ps
NOT-4619: 478.962 ps
NOT-4620: 478.962 ps
NOT-4621: 484.141 ps
NOT-4622: 484.141 ps
NOT-4623: 489.474 ps
NOT-4624: 489.474 ps
NOT-4625: 491.19 ps
NOT-4626: 491.055 ps
NOT-4627: 494.867 ps
NOT-4628: 494.867 ps
NOT-4629: 484.573 ps
AND-4630: 527.194 ps
NOT-4631: 489.754 ps
AND-4632: 500.318 ps
NOT-4633: 495.076 ps
AND-4634: 500.318 ps
AND-4635: 500.203 ps
NOT-4636: 482.889 ps
AND-4637: 503.558 ps
AND-4638: 476.629 ps
AND-4639: 476.629 ps
AND-4640: 476.629 ps
AND-4641: 476.571 ps
NOT-4642: 500.459 ps
NOT-4643: 568.561 ps
NOT-4644: 582.472 ps
NOT-4645: 573.517 ps
NOT-4646: 573.381 ps
NOT-4647: 578.699 ps
NOT-4648: 578.563 ps
NOT-4649: 584.027 ps
NOT-4650: 583.891 ps
NOT-4651: 589.414 ps
NOT-4652: 589.278 ps
NOT-4653: 715.943 ps
AND-4656: 487.638 ps
AND-4657: 453.601 ps
AND-4661: 446.944 ps
AND-4667: 437.516 ps
NOT-467: 916.272 ps
AND-4674: 457.397 ps
AND-4675: 426.687 ps
AND-4678: 423.199 ps
AND-4682: 419.845 ps
AND-4687: 413.506 ps
AND-469: 871.536 ps
NOT-4693: 487.232 ps
NAND-4694: 498.805 ps
NOT-4695: 487.228 ps
NOT-4696: 487.228 ps
NOT-4697: 477.46 ps
NOT-4698: 477.46 ps
NOT-4699: 483.289 ps
INP-47: 540.99 ps
NOT-4700: 483.297 ps
AND-4701: 476.495 ps
AND-4702: 380.762 ps
AND-4706: 296.339 ps
AND-4711: 259.738 ps
AND-4717: 443.033 ps
AND-4718: 352.493 ps
AND-4722: 242.646 ps
AND-4728: 212.05 ps
AND-4735: 176.956 ps
NOT-4743: 494.022 ps
NOT-4744: 481.29 ps
NOT-4745: 494.274 ps
NAND-4746: 505.846 ps
NOT-4747: 491.058 ps
NOT-4748: 491.058 ps
NOT-4749: 481.29 ps
NOT-4750: 487.229 ps
NAND-4751: 498.802 ps
NOT-4752: 487.224 ps
NOT-4753: 487.224 ps
NOT-4754: 477.319 ps
NOT-4755: 477.455 ps
AND-4756: 527.664 ps
AND-4757: 500.788 ps
AND-4758: 500.788 ps
AND-4759: 500.673 ps
AND-4760: 502.392 ps
NOT-4761: 475.22 ps
AND-4762: 475.462 ps
NOT-4763: 480.402 ps
AND-4764: 475.462 ps
NOT-4765: 485.73 ps
AND-4766: 475.462 ps
AND-4767: 481.076 ps
NOT-4768: 490.459 ps
AND-4769: 149.361 ps
NOT-4775: 487.228 ps
NAND-4776: 498.801 ps
NOT-4777: 487.224 ps
NOT-4778: 487.224 ps
NOT-4779: 477.456 ps
BUFF-478: 919.479 ps
NOT-4780: 477.456 ps
NOT-4781: 483.3 ps
NOT-4782: 483.3 ps
NOT-4783: 483.295 ps
OR-4784: 450.07 ps
NOT-4789: 593.685 ps
NOT-4790: 455.025 ps
NOT-4793: 502.308 ps
NOT-4794: 593.668 ps
NOT-4795: 293.005 ps
BUFF-4796: 249.787 ps
NOT-4799: 544.022 ps
NOT-4800: 538.014 ps
NOT-4801: 544.029 ps
NOT-4802: 544.029 ps
NAND-4803: 634.911 ps
NAND-4806: 634.911 ps
NOT-4809: 362.832 ps
BUFF-4810: 339.373 ps
NOT-4813: 293.18 ps
BUFF-4814: 249.951 ps
BUFF-4817: 619.964 ps
BUFF-482: 919.479 ps
BUFF-4820: 415.682 ps
BUFF-4823: 395.841 ps
BUFF-4826: 395.841 ps
